,Approach,,,,,,,,,,,,
Approach + Sniffing,-0.29,Approach + Sniffing,,,,,,,,,,,
Escorting,-0.405,0.349,Escorting,,,,,,,,,,
Foraging,0.513,0.064,-0.594* ,Foraging,,,,,,,,,
Jump back,-0.197,-0.214,0.133,-0.3,Jump back,,,,,,,,
Jump yip,0.325,-0.16,-0.382,0.454,-0.156,Jump yip,,,,,,,
Posting,-0.176,0.446,0.116,0.257,0.04,0.361,Posting,,,,,,
Pushing dirt,-0.036,-0.159,0.498,-0.444,0.54,0.01,0.057,Pushing dirt,,,,,
Retreat,-0.026,0.187, 0.594* ,-0.607* ,0.322,-0.501,-0.049,0.358,Retreat,,,,
Rocking,0.033,0.121,-0.253,0.146,-0.508,0.514,0.202,-0.441,-0.217,Rocking,,,
Rocking + Sniffing,-0.08,0.269,-0.103,0.154,-0.363,-0.081,0.124,-0.638* ,0.002, 0.690**,Rocking + Sniffing,,
Scratching,-0.268,-0.339,-0.223,-0.032,0.138,-0.019,-0.245,0.05,-0.532,-0.482,-0.594* ,Scratching,
Sniffing,0.041,0.009,-0.076,-0.019,0.198,0.089,0.047,-0.427,0.203,0.088,0.244,-0.143,Sniffing
